work_type,n_jobs,total_va,mean_va_pct
Litho,4276,13422271.321385,0.5290074378178912
Digital,1293,267477.449187,0.36626595824125463
Outwork,426,145075.689045,0.2673303630537842
Wide Format,135,46007.353355,0.6122816275817381
