month,actual,model_fit,forecast,forecast_low,forecast_high,is_forecast,backtest_mape
2023-01,614816.307528,666716.0913462568,,,,False,22.248826958868182
2023-02,530665.210621,799070.212064085,,,,False,22.248826958868182
2023-03,1336695.304523,851879.2102231527,,,,False,22.248826958868182
2023-04,566733.128667,590220.969503393,,,,False,22.248826958868182
2023-05,509675.5442,514584.2085834002,,,,False,22.248826958868182
2023-06,639704.016603,647990.8280626294,,,,False,22.248826958868182
2023-07,465547.325024,549332.4932802679,,,,False,22.248826958868182
2023-08,553486.748221,833086.7941516233,,,,False,22.248826958868182
2023-09,1019163.9111029999,888060.3445618568,,,,False,22.248826958868182
2023-10,523234.308008,673183.9303912616,,,,False,22.248826958868182
2023-11,902327.226875,672725.0613593406,,,,False,22.248826958868182
2023-12,224964.521349,285896.9989378773,,,,False,22.248826958868182
2024-01,862334.382221,708344.5285222639,,,,False,22.248826958868182
2024-02,1031841.850817,848704.3247046262,,,,False,22.248826958868182
2024-03,588091.11087,904521.0583233045,,,,False,22.248826958868182
2024-04,584244.95846,626506.7983240591,,,,False,22.248826958868182
2024-05,537501.616874,546058.7615270978,,,,False,22.248826958868182
2024-06,552137.006073,687424.2041672316,,,,False,22.248826958868182
2024-07,567607.971788,582593.358808427,,,,False,22.248826958868182
2024-08,1039213.501089,883275.1213257468,,,,False,22.248826958868182
2024-09,738156.645753,941293.2420959503,,,,False,22.248826958868182
2024-10,521882.974656,713335.9471511266,,,,False,22.248826958868182
2024-11,739022.216325,712651.2592543793,,,,False,22.248826958868182
2024-12,320019.129582,302781.46348890057,,,,False,22.248826958868182
2025-01,511981.616639,749972.965698271,,,,False,22.248826958868182
2025-02,997257.064029,898338.4373451673,,,,False,22.248826958868182
2025-03,1027093.975358,957162.9064234564,,,,False,22.248826958868182
2025-04,555071.035927,662792.6271447253,,,,False,22.248826958868182
2025-05,535461.717655,577533.3144707953,,,,False,22.248826958868182
2025-06,866684.018311,726857.5802718336,,,,False,22.248826958868182
2025-07,715021.077734,615854.2243365861,,,,False,22.248826958868182
2025-08,1065878.332393,933463.4484998705,,,,False,22.248826958868182
2025-09,1045203.567402,994526.1396300438,,,,False,22.248826958868182
2025-10,1110579.12149,753487.9639109917,,,,False,22.248826958868182
2025-11,454913.478979,752577.4571494182,,,,False,22.248826958868182
2025-12,364091.802661,319665.92803992383,,,,False,22.248826958868182
2026-01,914159.210642,791601.402874278,,,,False,22.248826958868182
2026-02,935685.326626,947972.5499857083,,,,False,22.248826958868182
2026-03,691409.818297,1009804.7545236084,,,,False,22.248826958868182
2026-04,871623.349842,699078.4559653914,,,,False,22.248826958868182
2026-05,654742.144092,609007.8674144928,,,,False,22.248826958868182
2026-06,,,766290.9563764358,595800.2074907866,936781.7052620851,True,22.248826958868182
2026-07,,,649115.0898647452,504694.5967568363,793535.582972654,True,22.248826958868182
2026-08,,,983651.775673994,764800.7942264528,1202502.7571215353,True,22.248826958868182
2026-09,,,1047759.0371641372,814644.942039585,1280873.1322886895,True,22.248826958868182
2026-10,,,793639.9806708568,617064.3946950029,970215.5666467106,True,22.248826958868182
2026-11,,,792503.6550444571,616180.8881909102,968826.4218980039,True,22.248826958868182
